Entidad federativa,Grupo quinquenal de edad,año,Hombres,Mujeres,Total
Chiapas,60 a 64 años,"1,990","27,349","25,024","52,373"
Chiapas,65 a 69 años,"1,990","16,456","15,490","31,946"
Chiapas,70 a 74 años,"1,990","13,593","12,605","26,198"
Chiapas,No especificado,"1,990","5,328","5,537","10,865"
Chiapas,75 años y más,"1,990","20,972","19,839","40,811"
Chihuahua,0 a 4 años,"1,990","147,694","143,464","291,158"
Chihuahua,05 a 9 años,"1,990","144,750","140,738","285,488"
Chihuahua,10 a 14 años,"1,990","142,712","139,403","282,115"
Chihuahua,15 a 19 años,"1,990","150,558","148,709","299,267"
Chihuahua,20 a 24 años,"1,990","125,338","128,902","254,240"
Chihuahua,25 a 29 años,"1,990","99,585","105,583","205,168"
Chihuahua,30 a 34 años,"1,990","80,883","86,460","167,343"
Chihuahua,35 a 39 años,"1,990","65,467","69,021","134,488"
Chihuahua,40 a 44 años,"1,990","52,131","54,759","106,890"
Chihuahua,45 a 49 años,"1,990","46,202","47,801","94,003"
Chihuahua,50 a 54 años,"1,990","39,300","39,977","79,277"
Chihuahua,55 a 59 años,"1,990","29,981","30,382","60,363"
Chihuahua,60 a 64 años,"1,990","25,053","26,168","51,221"
Chihuahua,65 a 69 años,"1,990","18,043","18,306","36,349"
Chihuahua,70 a 74 años,"1,990","11,765","12,490","24,255"
Chihuahua,No especificado,"1,990","15,953","16,205","32,158"
Chihuahua,75 años y más,"1,990","17,887","20,203","38,090"
Ciudad de México,0 a 4 años,"1,990","423,599","409,992","833,591"
Ciudad de México,05 a 9 años,"1,990","423,802","413,840","837,642"
Ciudad de México,10 a 14 años,"1,990","418,552","419,214","837,766"
Ciudad de México,15 a 19 años,"1,990","472,392","503,637","976,029"
Ciudad de México,20 a 24 años,"1,990","430,901","467,213","898,114"
Ciudad de México,25 a 29 años,"1,990","372,514","406,181","778,695"
Ciudad de México,30 a 34 años,"1,990","310,444","348,654","659,098"
Ciudad de México,35 a 39 años,"1,990","255,606","289,100","544,706"
Ciudad de México,40 a 44 años,"1,990","196,228","221,492","417,720"
Ciudad de México,45 a 49 años,"1,990","158,036","180,408","338,444"
Ciudad de México,50 a 54 años,"1,990","124,635","149,888","274,523"
Ciudad de México,55 a 59 años,"1,990","99,161","124,358","223,519"
Ciudad de México,60 a 64 años,"1,990","82,016","110,037","192,053"
Ciudad de México,65 a 69 años,"1,990","62,266","83,463","145,729"
Ciudad de México,70 a 74 años,"1,990","39,526","56,132","95,658"
Ciudad de México,No especificado,"1,990","13,421","15,493","28,914"
Ciudad de México,75 años y más,"1,990","56,812","96,731","153,543"
Coahuila de Zaragoza,0 a 4 años,"1,990","116,635","113,415","230,050"
Coahuila de Zaragoza,05 a 9 años,"1,990","119,677","116,248","235,925"
Coahuila de Zaragoza,10 a 14 años,"1,990","126,837","125,046","251,883"
Coahuila de Zaragoza,15 a 19 años,"1,990","121,309","121,714","243,023"
Coahuila de Zaragoza,20 a 24 años,"1,990","97,253","100,939","198,192"
Coahuila de Zaragoza,25 a 29 años,"1,990","77,799","82,631","160,430"
Coahuila de Zaragoza,30 a 34 años,"1,990","66,375","70,491","136,866"
Coahuila de Zaragoza,35 a 39 años,"1,990","55,433","56,849","112,282"
Coahuila de Zaragoza,40 a 44 años,"1,990","43,667","45,116","88,783"
Coahuila de Zaragoza,45 a 49 años,"1,990","37,181","37,686","74,867"
Coahuila de Zaragoza,50 a 54 años,"1,990","30,195","31,190","61,385"
Coahuila de Zaragoza,55 a 59 años,"1,990","23,310","23,718","47,028"
Coahuila de Zaragoza,60 a 64 años,"1,990","19,422","20,591","40,013"
Coahuila de Zaragoza,65 a 69 años,"1,990","14,444","15,004","29,448"
Coahuila de Zaragoza,70 a 74 años,"1,990","9,409","9,847","19,256"
Coahuila de Zaragoza,No especificado,"1,990","5,655","5,806","11,461"
Coahuila de Zaragoza,75 años y más,"1,990","14,496","16,952","31,448"
Colima,0 a 4 años,"1,990","26,373","25,896","52,269"
Colima,05 a 9 años,"1,990","27,572","26,840","54,412"
Colima,10 a 14 años,"1,990","28,241","27,368","55,609"
Colima,15 a 19 años,"1,990","26,276","26,561","52,837"
Colima,20 a 24 años,"1,990","19,064","20,959","40,023"
Colima,25 a 29 años,"1,990","16,014","17,399","33,413"
Colima,30 a 34 años,"1,990","13,998","14,741","28,739"
Colima,35 a 39 años,"1,990","11,835","12,287","24,122"
Colima,40 a 44 años,"1,990","9,133","9,239","18,372"
Colima,45 a 49 años,"1,990","7,749","7,704","15,453"
Colima,50 a 54 años,"1,990","5,960","6,049","12,009"
Colima,55 a 59 años,"1,990","4,640","4,653","9,293"
Colima,60 a 64 años,"1,990","3,994","4,063","8,057"
Colima,65 a 69 años,"1,990","3,271","3,360","6,631"
Colima,70 a 74 años,"1,990","2,509","2,545","5,054"
Colima,No especificado,"1,990","2,163","2,202","4,365"
Colima,75 años y más,"1,990","3,751","4,101","7,852"
Durango,0 a 4 años,"1,990","89,553","87,696","177,249"
Durango,05 a 9 años,"1,990","92,794","90,066","182,860"
Durango,10 a 14 años,"1,990","96,000","93,988","189,988"
Durango,15 a 19 años,"1,990","82,090","83,373","165,463"
Durango,20 a 24 años,"1,990","57,112","64,264","121,376"
Durango,25 a 29 años,"1,990","45,069","51,363","96,432"
Durango,30 a 34 años,"1,990","38,066","42,495","80,561"
Durango,35 a 39 años,"1,990","32,720","35,595","68,315"
Durango,40 a 44 años,"1,990","26,212","28,122","54,334"
Durango,45 a 49 años,"1,990","23,760","24,884","48,644"
Durango,50 a 54 años,"1,990","20,480","21,049","41,529"
Durango,55 a 59 años,"1,990","16,765","17,056","33,821"
Durango,60 a 64 años,"1,990","14,006","14,233","28,239"
Durango,65 a 69 años,"1,990","10,259","9,955","20,214"
Durango,70 a 74 años,"1,990","6,714","6,793","13,507"
Durango,No especificado,"1,990","1,369","1,428","2,797"
Durango,75 años y más,"1,990","11,797","12,252","24,049"
Estados Unidos Mexicanos,0 a 4 años,"1,990","5,160,002","5,035,176","10,195,178"
Estados Unidos Mexicanos,05 a 9 años,"1,990","5,338,285","5,223,949","10,562,234"
Estados Unidos Mexicanos,10 a 14 años,"1,990","5,230,658","5,158,434","10,389,092"
Estados Unidos Mexicanos,15 a 19 años,"1,990","4,759,892","4,904,511","9,664,403"
Estados Unidos Mexicanos,20 a 24 años,"1,990","3,738,128","4,091,035","7,829,163"
Estados Unidos Mexicanos,25 a 29 años,"1,990","3,050,595","3,353,917","6,404,512"
Estados Unidos Mexicanos,30 a 34 años,"1,990","2,578,736","2,808,883","5,387,619"
Estados Unidos Mexicanos,35 a 39 años,"1,990","2,210,565","2,368,551","4,579,116"
Estados Unidos Mexicanos,40 a 44 años,"1,990","1,705,013","1,792,757","3,497,770"
Estados Unidos Mexicanos,45 a 49 años,"1,990","1,452,573","1,519,287","2,971,860"
Estados Unidos Mexicanos,50 a 54 años,"1,990","1,161,875","1,231,916","2,393,791"
Estados Unidos Mexicanos,55 a 59 años,"1,990","918,864","975,620","1,894,484"
Estados Unidos Mexicanos,60 a 64 años,"1,990","769,917","841,400","1,611,317"
Estados Unidos Mexicanos,65 a 69 años,"1,990","567,641","616,010","1,183,651"
Estados Unidos Mexicanos,70 a 74 años,"1,990","394,031","432,996","827,027"
Estados Unidos Mexicanos,No especificado,"1,990","240,058","252,207","492,265"
Estados Unidos Mexicanos,75 años y más,"1,990","617,136","749,027","1,366,163"
Guanajuato,0 a 4 años,"1,990","274,052","268,746","542,798"
Guanajuato,05 a 9 años,"1,990","278,071","274,072","552,143"
Guanajuato,10 a 14 años,"1,990","274,980","272,857","547,837"
Guanajuato,15 a 19 años,"1,990","229,949","249,168","479,117"
Guanajuato,20 a 24 años,"1,990","166,925","200,982","367,907"
Guanajuato,25 a 29 años,"1,990","130,966","154,474","285,440"
Guanajuato,30 a 34 años,"1,990","111,057","127,239","238,296"
Guanajuato,35 a 39 años,"1,990","95,220","105,968","201,188"
Guanajuato,40 a 44 años,"1,990","73,562","80,129","153,691"
Guanajuato,45 a 49 años,"1,990","61,931","67,701","129,632"
Guanajuato,50 a 54 años,"1,990","50,466","55,720","106,186"
Guanajuato,55 a 59 años,"1,990","40,946","44,710","85,656"
Guanajuato,60 a 64 años,"1,990","36,783","40,719","77,502"
Guanajuato,65 a 69 años,"1,990","26,561","28,918","55,479"
Guanajuato,70 a 74 años,"1,990","19,316","21,204","40,520"
Guanajuato,No especificado,"1,990","20,927","22,585","43,512"
Guanajuato,75 años y más,"1,990","35,023","40,666","75,689"
Guerrero,0 a 4 años,"1,990","182,613","178,866","361,479"
Guerrero,05 a 9 años,"1,990","195,254","191,556","386,810"
Guerrero,10 a 14 años,"1,990","187,544","183,336","370,880"
Guerrero,15 a 19 años,"1,990","148,144","153,728","301,872"
Guerrero,20 a 24 años,"1,990","101,651","116,463","218,114"
Guerrero,25 a 29 años,"1,990","84,070","96,454","180,524"
Guerrero,30 a 34 años,"1,990","69,230","77,254","146,484"
Guerrero,35 a 39 años,"1,990","64,989","72,447","137,436"
Guerrero,40 a 44 años,"1,990","49,712","53,553","103,265"
Guerrero,45 a 49 años,"1,990","44,171","48,446","92,617"
Guerrero,50 a 54 años,"1,990","35,600","38,454","74,054"
Guerrero,55 a 59 años,"1,990","28,165","29,610","57,775"
Guerrero,60 a 64 años,"1,990","24,876","26,598","51,474"
Guerrero,65 a 69 años,"1,990","16,371","17,565","33,936"
Guerrero,70 a 74 años,"1,990","13,939","14,482","28,421"
Guerrero,No especificado,"1,990","15,145","15,936","31,081"
Guerrero,75 años y más,"1,990","20,746","23,669","44,415"
Hidalgo,0 a 4 años,"1,990","124,021","121,994","246,015"
Hidalgo,05 a 9 años,"1,990","135,688","133,683","269,371"
Hidalgo,10 a 14 años,"1,990","131,741","128,308","260,049"
Hidalgo,15 a 19 años,"1,990","105,116","105,477","210,593"
Hidalgo,20 a 24 años,"1,990","75,252","85,144","160,396"
Hidalgo,25 a 29 años,"1,990","64,262","73,500","137,762"
Hidalgo,30 a 34 años,"1,990","56,395","61,085","117,480"
Hidalgo,35 a 39 años,"1,990","51,450","54,657","106,107"
Hidalgo,40 a 44 años,"1,990","38,622","39,061","77,683"
Hidalgo,45 a 49 años,"1,990","34,915","35,853","70,768"
Hidalgo,50 a 54 años,"1,990","26,964","27,473","54,437"
Hidalgo,55 a 59 años,"1,990","21,769","21,764","43,533"
Hidalgo,60 a 64 años,"1,990","18,053","19,380","37,433"
Hidalgo,65 a 69 años,"1,990","13,645","14,694","28,339"
Hidalgo,70 a 74 años,"1,990","9,901","11,113","21,014"
Hidalgo,No especificado,"1,990","6,643","7,166","13,809"
Hidalgo,75 años y más,"1,990","14,701","18,876","33,577"
Jalisco,0 a 4 años,"1,990","340,007","331,642","671,649"
Jalisco,05 a 9 años,"1,990","352,079","343,384","695,463"
Jalisco,10 a 14 años,"1,990","342,191","339,476","681,667"
Jalisco,15 a 19 años,"1,990","311,635","331,795","643,430"
Jalisco,20 a 24 años,"1,990","224,235","267,452","491,687"
Jalisco,25 a 29 años,"1,990","179,028","211,100","390,128"
Jalisco,30 a 34 años,"1,990","156,725","180,406","337,131"
Jalisco,35 a 39 años,"1,990","136,230","153,373","289,603"
Jalisco,40 a 44 años,"1,990","111,269","120,288","231,557"
Jalisco,45 a 49 años,"1,990","92,271","97,976","190,247"
Jalisco,50 a 54 años,"1,990","71,875","79,444","151,319"
Jalisco,55 a 59 años,"1,990","56,950","63,076","120,026"
Jalisco,60 a 64 años,"1,990","49,067","56,749","105,816"
Jalisco,65 a 69 años,"1,990","40,115","45,215","85,330"
Jalisco,70 a 74 años,"1,990","30,562","34,100","64,662"
Jalisco,No especificado,"1,990","22,256","24,056","46,312"
Jalisco,75 años y más,"1,990","48,397","58,265","106,662"
México,0 a 4 años,"1,990","622,293","607,703","1,229,996"
México,05 a 9 años,"1,990","647,646","636,521","1,284,167"
México,10 a 14 años,"1,990","626,149","622,040","1,248,189"
México,15 a 19 años,"1,990","592,244","606,252","1,198,496"
México,20 a 24 años,"1,990","488,297","522,356","1,010,653"
México,25 a 29 años,"1,990","399,918","434,591","834,509"
México,30 a 34 años,"1,990","341,203","367,978","709,181"
México,35 a 39 años,"1,990","287,047","297,943","584,990"
México,40 a 44 años,"1,990","213,167","216,217","429,384"
México,45 a 49 años,"1,990","173,369","175,493","348,862"
México,50 a 54 años,"1,990","129,860","134,160","264,020"
México,55 a 59 años,"1,990","97,577","102,589","200,166"
México,60 a 64 años,"1,990","73,584","82,421","156,005"
México,65 a 69 años,"1,990","52,962","59,945","112,907"
México,70 a 74 años,"1,990","31,524","37,691","69,215"
México,No especificado,"1,990","10,925","11,336","22,261"
México,75 años y más,"1,990","46,784","66,010","112,794"
Michoacán de Ocampo,0 a 4 años,"1,990","236,418","232,062","468,480"
Michoacán de Ocampo,05 a 9 años,"1,990","248,142","243,532","491,674"
Michoacán de Ocampo,10 a 14 años,"1,990","249,951","246,708","496,659"
Michoacán de Ocampo,15 a 19 años,"1,990","206,567","224,786","431,353"
Michoacán de Ocampo,20 a 24 años,"1,990","139,326","172,401","311,727"
Michoacán de Ocampo,25 a 29 años,"1,990","110,101","130,894","240,995"
Michoacán de Ocampo,30 a 34 años,"1,990","95,021","108,824","203,845"
Michoacán de Ocampo,35 a 39 años,"1,990","84,247","92,502","176,749"
Michoacán de Ocampo,40 a 44 años,"1,990","67,100","72,754","139,854"
Michoacán de Ocampo,45 a 49 años,"1,990","56,801","62,041","118,842"
Michoacán de Ocampo,50 a 54 años,"1,990","48,461","52,961","101,422"
Michoacán de Ocampo,55 a 59 años,"1,990","39,451","42,183","81,634"
Michoacán de Ocampo,60 a 64 años,"1,990","35,904","39,110","75,014"
Michoacán de Ocampo,65 a 69 años,"1,990","25,886","27,694","53,580"
Michoacán de Ocampo,70 a 74 años,"1,990","20,996","21,300","42,296"
Michoacán de Ocampo,No especificado,"1,990","20,447","21,932","42,379"
Michoacán de Ocampo,75 años y más,"1,990","33,944","37,752","71,696"
Morelos,0 a 4 años,"1,990","73,026","70,067","143,093"
Morelos,05 a 9 años,"1,990","76,657","74,891","151,548"
Morelos,10 a 14 años,"1,990","77,268","76,573","153,841"
Morelos,15 a 19 años,"1,990","70,866","74,331","145,197"
Morelos,20 a 24 años,"1,990","52,506","60,077","112,583"
Morelos,25 a 29 años,"1,990","43,917","48,667","92,584"
Morelos,30 a 34 años,"1,990","37,720","42,442","80,162"
Morelos,35 a 39 años,"1,990","33,847","35,897","69,744"
Morelos,40 a 44 años,"1,990","25,363","26,588","51,951"
Morelos,45 a 49 años,"1,990","21,488","23,373","44,861"
Morelos,50 a 54 años,"1,990","17,358","19,055","36,413"
Morelos,55 a 59 años,"1,990","14,823","16,213","31,036"
Morelos,60 a 64 años,"1,990","12,214","13,177","25,391"
Morelos,65 a 69 años,"1,990","9,250","9,893","19,143"
Morelos,70 a 74 años,"1,990","5,750","6,159","11,909"
Morelos,No especificado,"1,990","1,873","2,028","3,901"
Morelos,75 años y más,"1,990","9,859","11,843","21,702"
Nayarit,0 a 4 años,"1,990","52,490","50,737","103,227"
Nayarit,05 a 9 años,"1,990","55,506","53,857","109,363"
Nayarit,10 a 14 años,"1,990","57,093","55,817","112,910"
Nayarit,15 a 19 años,"1,990","49,847","49,932","99,779"
Nayarit,20 a 24 años,"1,990","33,394","36,611","70,005"
Nayarit,25 a 29 años,"1,990","27,020","29,602","56,622"
Nayarit,30 a 34 años,"1,990","23,882","25,622","49,504"
Nayarit,35 a 39 años,"1,990","21,711","22,673","44,384"
Nayarit,40 a 44 años,"1,990","17,253","17,436","34,689"
Nayarit,45 a 49 años,"1,990","15,426","15,183","30,609"
Nayarit,50 a 54 años,"1,990","13,038","12,623","25,661"
Nayarit,55 a 59 años,"1,990","10,438","9,826","20,264"
Nayarit,60 a 64 años,"1,990","8,686","8,472","17,158"
Nayarit,65 a 69 años,"1,990","6,789","6,624","13,413"
Nayarit,70 a 74 años,"1,990","5,268","5,090","10,358"
Nayarit,No especificado,"1,990","4,852","4,873","9,725"
Nayarit,75 años y más,"1,990","8,364","8,608","16,972"
Nuevo León,0 a 4 años,"1,990","168,597","162,922","331,519"
Nuevo León,05 a 9 años,"1,990","178,254","172,304","350,558"
Nuevo León,10 a 14 años,"1,990","186,328","183,131","369,459"
Nuevo León,15 a 19 años,"1,990","195,037","193,443","388,480"
Nuevo León,20 a 24 años,"1,990","168,514","169,010","337,524"
Nuevo León,25 a 29 años,"1,990","131,768","135,567","267,335"
Nuevo León,30 a 34 años,"1,990","110,900","115,979","226,879"
Nuevo León,35 a 39 años,"1,990","88,772","91,630","180,402"
Nuevo León,40 a 44 años,"1,990","71,411","73,851","145,262"
Nuevo León,45 a 49 años,"1,990","60,748","61,090","121,838"
Nuevo León,50 a 54 años,"1,990","49,598","50,665","100,263"
Nuevo León,55 a 59 años,"1,990","36,957","38,147","75,104"
Nuevo León,60 a 64 años,"1,990","29,546","32,852","62,398"
Nuevo León,65 a 69 años,"1,990","22,190","23,905","46,095"
Nuevo León,70 a 74 años,"1,990","13,885","15,997","29,882"
Nuevo León,No especificado,"1,990","8,202","8,391","16,593"
Nuevo León,75 años y más,"1,990","21,957","27,188","49,145"
Oaxaca,0 a 4 años,"1,990","207,210","203,531","410,741"
Oaxaca,05 a 9 años,"1,990","228,078","224,309","452,387"
Oaxaca,10 a 14 años,"1,990","214,416","208,294","422,710"
Oaxaca,15 a 19 años,"1,990","159,459","164,598","324,057"
Oaxaca,20 a 24 años,"1,990","115,625","129,912","245,537"
Oaxaca,25 a 29 años,"1,990","95,962","109,174","205,136"
Oaxaca,30 a 34 años,"1,990","82,811","91,798","174,609"
Oaxaca,35 a 39 años,"1,990","74,828","83,539","158,367"
Oaxaca,40 a 44 años,"1,990","58,580","64,170","122,750"
Oaxaca,45 a 49 años,"1,990","54,594","59,862","114,456"
Oaxaca,50 a 54 años,"1,990","44,627","48,755","93,382"
Oaxaca,55 a 59 años,"1,990","37,064","40,187","77,251"
Oaxaca,60 a 64 años,"1,990","33,329","35,373","68,702"
Oaxaca,65 a 69 años,"1,990","23,567","25,064","48,631"
Oaxaca,70 a 74 años,"1,990","17,231","18,650","35,881"
Oaxaca,No especificado,"1,990","3,022","3,318","6,340"
Oaxaca,75 años y más,"1,990","27,035","31,588","58,623"
Puebla,0 a 4 años,"1,990","277,188","272,277","549,465"
Puebla,05 a 9 años,"1,990","295,554","291,873","587,427"
Puebla,10 a 14 años,"1,990","284,925","282,060","566,985"
Puebla,15 a 19 años,"1,990","231,159","240,141","471,300"
Puebla,20 a 24 años,"1,990","174,448","195,375","369,823"
Puebla,25 a 29 años,"1,990","138,847","156,632","295,479"
Puebla,30 a 34 años,"1,990","118,110","132,207","250,317"
Puebla,35 a 39 años,"1,990","104,236","116,321","220,557"
Puebla,40 a 44 años,"1,990","79,353","86,739","166,092"
Puebla,45 a 49 años,"1,990","70,806","77,252","148,058"
Puebla,50 a 54 años,"1,990","56,107","62,563","118,670"
Puebla,55 a 59 años,"1,990","47,017","52,666","99,683"
Puebla,60 a 64 años,"1,990","40,083","44,923","85,006"
Puebla,65 a 69 años,"1,990","30,069","33,910","63,979"
Puebla,70 a 74 años,"1,990","21,277","23,982","45,259"
Puebla,No especificado,"1,990","5,103","5,609","10,712"
Puebla,75 años y más,"1,990","34,249","43,040","77,289"
Querétaro,0 a 4 años,"1,990","73,769","72,410","146,179"
Querétaro,05 a 9 años,"1,990","75,103","74,239","149,342"
Querétaro,10 a 14 años,"1,990","70,380","70,284","140,664"
Querétaro,15 a 19 años,"1,990","61,191","64,044","125,235"
Querétaro,20 a 24 años,"1,990","47,269","53,218","100,487"
Querétaro,25 a 29 años,"1,990","38,944","42,662","81,606"
Querétaro,30 a 34 años,"1,990","32,945","34,835","67,780"
Querétaro,35 a 39 años,"1,990","27,222","28,030","55,252"
Querétaro,40 a 44 años,"1,990","19,975","20,403","40,378"
Querétaro,45 a 49 años,"1,990","16,788","17,180","33,968"
Querétaro,50 a 54 años,"1,990","12,636","13,323","25,959"
Querétaro,55 a 59 años,"1,990","10,276","10,823","21,099"
Querétaro,60 a 64 años,"1,990","8,451","9,187","17,638"
Querétaro,65 a 69 años,"1,990","6,350","6,850","13,200"
Querétaro,70 a 74 años,"1,990","4,190","4,761","8,951"
Querétaro,No especificado,"1,990","3,330","3,527","6,857"
Querétaro,75 años y más,"1,990","7,349","9,291","16,640"
Quintana Roo,0 a 4 años,"1,990","35,966","35,131","71,097"
Quintana Roo,05 a 9 años,"1,990","33,610","32,459","66,069"
Quintana Roo,10 a 14 años,"1,990","29,888","28,892","58,780"
Quintana Roo,15 a 19 años,"1,990","28,691","27,249","55,940"
Quintana Roo,20 a 24 años,"1,990","27,810","26,416","54,226"
Quintana Roo,25 a 29 años,"1,990","23,617","22,553","46,170"
Quintana Roo,30 a 34 años,"1,990","18,643","17,307","35,950"
Quintana Roo,35 a 39 años,"1,990","14,845","13,422","28,267"
Quintana Roo,40 a 44 años,"1,990","10,413","8,593","19,006"
Quintana Roo,45 a 49 años,"1,990","8,007","6,619","14,626"
Quintana Roo,50 a 54 años,"1,990","5,665","4,750","10,415"
Quintana Roo,55 a 59 años,"1,990","4,017","3,501","7,518"
Quintana Roo,60 a 64 años,"1,990","3,220","2,515","5,735"
Quintana Roo,65 a 69 años,"1,990","2,228","1,752","3,980"
Quintana Roo,70 a 74 años,"1,990","1,567","1,157","2,724"
Quintana Roo,No especificado,"1,990","4,796","4,516","9,312"
Quintana Roo,75 años y más,"1,990","1,925","1,537","3,462"
San Luis Potosí,0 a 4 años,"1,990","137,343","133,366","270,709"
San Luis Potosí,05 a 9 años,"1,990","140,173","138,228","278,401"
San Luis Potosí,10 a 14 años,"1,990","136,540","134,465","271,005"
San Luis Potosí,15 a 19 años,"1,990","115,288","116,663","231,951"
San Luis Potosí,20 a 24 años,"1,990","83,499","93,398","176,897"
San Luis Potosí,25 a 29 años,"1,990","67,273","75,436","142,709"
San Luis Potosí,30 a 34 años,"1,990","56,953","62,381","119,334"
San Luis Potosí,35 a 39 años,"1,990","49,465","52,899","102,364"
San Luis Potosí,40 a 44 años,"1,990","39,374","41,522","80,896"
San Luis Potosí,45 a 49 años,"1,990","35,211","37,022","72,233"
San Luis Potosí,50 a 54 años,"1,990","30,305","31,385","61,690"
San Luis Potosí,55 a 59 años,"1,990","24,679","25,136","49,815"
San Luis Potosí,60 a 64 años,"1,990","21,396","22,097","43,493"
San Luis Potosí,65 a 69 años,"1,990","15,960","15,912","31,872"
San Luis Potosí,70 a 74 años,"1,990","10,187","10,283","20,470"
